gender,age,education_level,job_fulltime,job_parttime,job_training,job_annualleave,job_laidoff,job_unemplyed,job_retired,job_student,job_other,work_position,employment_duration,weekly_workhours,effect_of_codetermination_process,work_community_help_in_problems,remote_working,excellent_work_performance,feeling_stressed,financial_stress,good_gender_equality_at_work,good_worker_equality_at_work,overall_life_satisfaction,health_status,sleeping_problems,physical_exercise,employment_prospects,ukraine_worries,surrender,feelings,effort_reward_imbalance_reward,effort_reward_imbalance_effort,ERI_RATIO,WHO5_TOTAL,SISU_LP,SISU_AM,SISU_EP,SISU_HR,SISU_HS,SISU_HO
1,39,4,1,0,0,0,0,0,0,0,0,4,2,4,1,1,1,4,2,1,4,4,4,4,3,2,4,2,1,1,46,18,0.86,72,13,15,16,5,11,11
1,28,3,0,0,1,0,0,0,0,1,0,1,1,4,1,3,1,5,4,3,5,4,4,4,3,2,4,1,0,1,37,13,0.77,52,14,17,14,15,9,3
1,40,4,1,0,0,0,0,0,0,0,0,4,2,4,1,1,1,4,2,1,5,5,5,5,3,3,4,2,,1,,16,,80,18,19,17,6,9,7
1,25,3,0,0,0,0,0,0,0,1,0,7,,,,,,,3,1,,,4,5,1,2,4,2,,,,,,56,11,11,12,12,8,4
1,28,4,0,1,0,0,0,0,0,0,0,1,4,2,1,1,4,2,2,3,4,5,3,4,3,1,2,3,,,32,13,0.89,32,9,9,12,11,9,7
1,19,2,0,0,0,0,0,0,0,1,0,7,,,,,,,3,2,,,4,4,2,2,4,2,,,,,,92,13,13,18,9,10,10
1,48,3,1,1,0,0,0,0,0,1,0,4,5,5,1,1,1,4,4,3,4,2,4,2,4,1,4,4,,0,41,21,1.13,44,17,14,16,3,9,4
1,35,3,1,0,0,0,0,0,0,1,0,4,3,4,1,1,1,2,2,1,4,4,5,5,1,2,3,2,,,43,18,0.92,76,10,13,13,8,11,8
1,21,2,1,0,0,0,0,0,0,1,0,1,1,4,1,1,1,4,3,3,5,5,4,4,1,3,4,2,,,47,17,0.8,76,15,12,17,9,14,5
2,29,3,0,0,0,0,0,0,0,1,0,6,1,3,1,1,4,3,4,4,5,4,5,5,3,3,4,1,1,0,39,10,0.56,88,19,18,20,10,14,11
1,33,3,0,0,0,0,0,0,0,1,0,7,,,,,,,4,3,,,4,4,4,2,3,3,1,1,,,,56,13,11,16,13,9,5
1,44,4,0,0,0,0,0,0,0,1,0,6,,1,,,,,4,3,,,3,4,4,2,2,3,,,,,,32,10,7,11,13,4,8
1,24,3,0,0,0,0,0,0,0,1,0,1,1,4,,,,4,3,4,5,5,4,3,2,2,5,2,,,37,8,0.48,76,16,12,17,15,16,12
2,65,4,0,0,0,0,0,0,1,0,0,7,,,,1,,,2,2,,,3,3,2,1,1,3,,0,32,14,0.96,52,10,12,9,13,9,8
1,22,2,0,0,0,0,0,0,0,1,0,7,,,,,,,2,1,,,5,5,1,3,4,2,,,,,,84,13,11,14,8,10,4
2,25,4,1,0,0,0,0,0,0,0,0,6,3,4,1,1,1,3,3,3,6,4,3,4,3,3,4,1,,0,,16,,44,11,11,14,7,11,12
1,27,3,0,0,0,0,0,0,0,1,0,7,,,,,,,3,4,,,3,3,2,3,4,3,,,,,,16,8,8,15,15,6,6
1,20,2,0,1,0,0,0,0,0,1,0,1,1,4,1,1,4,4,2,3,2,5,4,4,1,1,3,2,0,,43,9,0.46,76,12,11,9,16,9,7
1,24,2,0,0,0,0,0,1,0,0,1,7,,,,,,,4,5,,,4,3,2,2,4,2,1,0,,,,28,6,11,10,17,19,11
2,28,4,1,0,0,1,0,0,0,0,0,1,4,4,1,1,2,3,4,3,5,4,4,4,4,3,4,3,1,1,,18,,52,13,11,20,13,11,9
1,37,3,1,0,0,0,0,0,0,0,0,1,1,4,1,1,1,3,3,1,4,4,4,2,2,1,5,2,,,39,20,1.13,64,14,13,18,11,13,7
1,46,4,1,0,0,0,0,0,0,0,0,4,1,5,1,1,1,2,5,3,3,4,2,4,4,2,3,2,1,0,30,18,1.32,40,13,12,14,15,10,8
1,58,4,1,0,0,0,0,0,0,0,0,1,5,4,1,1,1,4,1,2,2,2,5,5,2,4,3,2,1,1,41,13,0.7,64,12,14,13,5,9,5
1,30,3,0,1,0,0,0,0,0,1,0,1,4,3,1,1,1,5,3,2,5,5,4,2,3,2,4,2,,,45,16,0.78,52,11,13,12,8,9,7
2,60,4,1,0,0,0,0,0,0,0,0,4,5,4,1,1,1,5,3,2,4,4,5,5,2,4,3,3,,,34,14,0.91,76,13,12,12,8,9,5
1,40,3,0,1,0,0,0,0,0,1,0,1,4,3,1,1,1,5,4,3,3,1,2,1,4,1,4,0,1,0,37,16,0.95,16,10,15,20,12,12,4
2,25,3,1,0,0,0,0,0,0,0,0,1,1,4,1,1,1,3,3,2,4,5,4,5,2,3,4,4,1,0,43,17,0.87,76,12,11,12,9,11,4
1,32,4,0,1,0,0,0,0,0,1,0,6,2,1,1,1,2,3,3,2,4,4,4,4,2,2,5,2,,0,41,19,1.02,60,13,16,15,13,12,6
1,48,2,1,0,0,0,0,0,0,1,0,1,5,5,3,2,1,2,3,3,6,4,3,2,3,3,2,2,1,1,33,20,1.33,68,14,13,12,8,11,6
2,38,4,1,0,0,0,0,0,0,0,0,1,4,5,2,2,1,4,3,2,2,2,4,5,3,3,4,2,,,36,20,1.22,48,11,12,15,9,12,6
1,26,4,1,0,0,0,0,0,0,0,0,1,4,4,1,1,1,3,5,5,2,2,4,5,4,3,5,3,1,,32,22,1.51,60,13,13,17,9,18,9
1,40,3,0,0,1,0,0,0,0,0,0,6,1,4,1,1,1,1,3,5,4,6,2,3,3,1,2,2,,0,24,9,0.83,24,7,12,12,8,11,5
2,21,2,0,0,0,0,0,0,0,1,0,7,,,,,,,3,1,,,2,4,2,3,4,1,,,,,,60,14,16,14,12,11,5
1,24,2,0,1,0,0,0,0,0,1,0,1,2,2,1,1,4,4,4,3,4,5,4,4,2,3,4,2,,,35,8,0.5,60,8,11,10,9,8,4
1,61,4,1,0,0,0,0,0,0,0,0,4,5,4,2,3,1,4,3,1,4,1,5,4,4,1,5,2,1,0,31,17,1.21,72,9,9,11,5,3,12
1,54,4,1,0,0,0,0,0,0,0,0,4,5,4,1,,1,5,4,1,4,4,4,4,4,3,3,2,,,30,22,1.61,56,14,13,16,8,11,5
1,33,3,0,0,0,0,0,0,0,1,0,7,,,,,,,3,3,,,4,3,4,1,5,2,1,0,,,,32,7,6,9,20,4,3
1,24,3,0,1,0,0,0,0,0,1,0,1,4,2,2,3,4,4,4,4,3,2,3,4,3,2,2,1,1,0,25,15,1.32,40,9,8,15,9,10,12
1,24,4,1,0,0,0,0,0,0,0,0,1,3,4,1,1,2,2,4,3,2,6,4,5,1,3,5,1,,,50,15,0.66,44,9,8,16,6,4,6
1,25,3,0,0,0,0,0,0,0,1,0,7,,,,,,,5,3,,,2,2,3,2,3,2,,,,,,36,9,6,10,15,15,7
1,24,2,1,0,0,0,0,0,0,1,0,1,1,4,1,1,3,4,1,1,2,2,4,5,1,3,2,3,,,38,9,0.52,68,10,14,12,5,7,10
1,31,4,1,0,0,0,0,0,0,1,0,1,3,4,2,3,1,2,4,1,3,4,4,4,3,3,5,3,,,42,12,0.63,56,9,13,5,17,14,7
2,27,3,0,1,0,0,0,0,0,1,0,1,4,2,1,1,4,3,4,4,4,4,4,4,4,4,2,2,,,28,6,0.47,32,9,9,11,9,6,6
1,23,3,0,0,0,0,0,0,0,1,0,7,,,,,,,3,2,,,5,5,2,2,4,2,1,1,,,,76,16,16,14,4,10,9
2,23,2,0,1,0,0,0,0,0,1,0,1,2,3,1,1,4,5,1,4,3,3,4,5,3,1,3,2,,,41,9,0.48,52,12,7,12,18,5,8
1,29,4,1,0,0,0,0,0,0,1,0,1,4,5,1,1,1,4,4,5,2,1,3,2,4,1,1,4,0,0,22,23,2.3,48,9,9,11,20,16,12
1,49,4,1,0,0,0,0,0,0,0,0,4,5,4,1,2,1,4,4,4,4,4,2,2,3,2,2,4,1,1,36,20,1.22,24,9,11,16,4,8,5
1,42,2,0,1,0,0,0,0,0,1,0,1,3,2,1,1,1,4,2,2,5,4,4,4,3,2,4,2,1,1,29,11,0.83,80,17,15,10,11,8,6
1,28,4,0,1,0,0,0,0,0,1,0,4,2,3,1,1,1,2,3,3,6,6,5,3,3,3,4,2,,,40,18,0.99,60,16,15,16,11,15,9
1,23,3,1,0,0,0,0,0,0,0,0,1,2,4,1,1,1,4,4,2,4,4,4,3,4,3,3,2,,,38,15,0.87,52,11,10,15,14,11,10
1,52,4,1,0,0,0,0,0,0,0,0,4,5,4,1,1,1,4,1,1,4,3,5,5,2,2,4,2,1,1,36,16,0.98,88,15,21,19,3,9,5
1,20,2,0,0,0,0,0,0,0,1,0,7,,,,,,,4,2,,,4,4,3,3,3,2,1,0,,,,60,10,9,12,12,6,3
2,23,2,1,0,0,0,0,0,0,1,0,1,1,4,1,1,1,4,3,2,5,5,5,5,3,4,4,1,,,44,10,0.5,64,10,14,10,13,13,6
2,21,2,1,0,1,0,0,0,0,0,0,1,1,4,1,1,1,5,2,1,5,5,5,5,1,3,4,4,,,55,6,0.24,92,15,17,16,5,9,3
1,20,2,1,0,0,0,0,0,0,1,0,1,1,4,1,1,1,3,2,2,5,5,5,4,3,2,4,2,,,48,11,0.5,72,13,12,10,12,11,7
2,34,4,0,0,0,0,0,1,0,0,0,7,,,,,,,2,3,,,4,4,3,2,4,3,1,1,,,,56,17,12,14,15,13,14
3,29,3,1,0,1,0,0,0,0,1,0,1,1,4,1,1,1,4,3,3,4,2,3,3,4,1,3,3,,,33,13,0.87,32,11,9,8,12,7,7
1,29,3,0,0,0,0,0,0,0,1,0,7,,,1,1,,,4,4,,,5,4,2,2,2,2,1,1,28,25,1.96,76,14,14,17,10,12,7
1,29,4,0,0,1,0,0,0,0,0,0,4,2,4,1,1,1,4,2,2,4,1,2,5,2,3,4,2,,,27,9,0.73,64,17,15,20,5,15,7
1,33,4,1,0,0,0,0,0,0,0,0,1,3,4,1,3,1,3,5,4,4,4,3,3,4,2,4,3,1,0,31,19,1.35,44,9,13,14,7,8,9
3,28,1,0,1,0,0,0,0,0,1,1,1,2,3,2,3,1,3,3,4,4,3,4,4,2,2,4,4,,1,28,16,1.26,56,4,5,6,13,14,9
1,24,3,0,1,0,0,0,0,0,1,0,1,1,3,1,1,4,4,5,5,4,4,4,4,3,1,3,4,,,38,10,0.58,56,8,5,15,10,18,3
1,26,3,1,0,0,0,0,0,0,1,0,1,1,4,1,1,1,3,5,4,5,5,2,4,3,1,5,3,,,49,7,0.31,20,6,7,12,12,6,5
1,25,3,1,0,0,0,0,0,0,1,0,1,1,4,3,3,4,4,2,4,4,4,3,4,2,2,4,2,1,1,,10,,64,10,16,14,13,15,8
2,30,2,0,0,0,0,0,1,1,1,0,6,,,,,,6,5,5,,,1,1,4,2,4,3,0,0,,,,36,13,16,6,9,16,16
1,44,4,1,0,0,0,0,0,0,0,0,4,4,4,1,1,1,4,2,2,4,4,4,4,1,2,5,2,,,44,16,0.8,84,12,12,15,8,10,6
1,20,2,0,0,0,0,0,0,0,1,0,1,3,1,1,1,4,4,2,1,5,4,4,3,1,1,5,1,1,1,47,13,0.61,76,14,12,16,4,4,5
2,32,4,0,1,0,0,0,1,0,1,0,5,4,2,1,1,2,5,2,3,6,6,5,5,2,3,5,0,1,1,31,7,0.5,84,13,17,19,8,12,5
1,27,3,0,1,0,0,0,0,0,1,0,1,4,2,2,2,4,5,4,3,4,4,4,4,3,2,4,2,,,43,11,0.56,72,16,14,13,6,8,5
1,26,3,1,0,0,0,0,0,0,1,0,1,1,4,1,1,4,1,3,2,5,4,4,4,3,2,3,2,,,53,9,0.37,48,8,6,6,9,8,11
1,26,3,0,1,0,0,0,0,0,0,0,1,3,3,1,1,4,5,2,3,2,2,4,5,3,3,3,0,1,,39,18,1.02,64,12,12,15,5,8,3
1,31,3,0,0,0,0,0,1,0,0,0,7,,,,,,,3,3,,,4,4,3,1,3,1,1,1,,,,60,12,9,11,10,9,10
2,41,2,1,0,0,0,0,0,0,0,0,2,4,5,3,3,4,3,5,5,1,2,2,2,4,1,4,4,1,0,23,23,2.2,24,7,14,13,6,6,3
1,30,4,1,0,0,1,0,0,0,1,0,1,3,4,1,1,4,4,4,5,3,3,4,4,4,1,5,2,1,,35,16,1.01,44,15,13,17,6,4,3
1,19,2,0,1,0,0,0,0,0,1,0,1,1,3,1,1,4,4,3,1,5,5,3,3,1,2,4,1,,,34,8,0.52,52,13,12,12,7,6,6
1,19,2,0,0,0,0,0,0,0,1,0,7,,,,,,,2,3,,,3,5,2,2,4,2,1,0,,,,64,15,17,16,14,14,10
1,29,3,0,1,0,0,0,0,1,1,0,6,1,1,1,1,1,3,3,2,4,3,4,3,3,2,5,1,1,0,26,10,0.85,48,11,12,15,6,13,5
1,23,3,0,1,0,0,0,0,0,1,0,1,4,1,1,1,4,2,3,2,5,4,4,4,2,4,5,1,1,,,,,64,7,12,16,11,6,9
2,42,3,1,0,0,1,0,0,0,0,0,4,3,4,1,1,1,5,2,3,5,2,4,4,3,1,5,2,1,1,54,20,0.81,60,20,15,17,10,11,13
2,27,4,0,0,0,0,0,0,0,1,0,6,,,,,,,2,3,,,3,4,1,1,4,4,,,,,,64,8,14,10,3,8,5
1,27,3,0,0,0,0,0,0,0,1,0,7,,,,,,,3,2,,,4,4,1,3,4,3,1,,,,,40,6,8,12,20,16,4
1,29,4,1,0,0,0,0,0,0,1,0,4,4,4,3,2,1,4,5,4,4,2,4,4,4,1,5,3,1,0,35,23,1.45,48,14,12,18,12,11,9
1,21,2,0,0,0,0,0,0,0,1,0,7,,,,,,,4,2,,,3,4,3,2,4,2,,1,,,,56,12,9,8,15,9,4
2,21,2,0,0,0,1,0,0,0,1,0,7,,,,,,,4,3,,,2,2,3,2,3,2,0,0,,,,32,7,7,6,14,6,14
2,23,2,0,0,0,0,0,0,0,1,0,7,,,,,,,3,4,,,2,3,1,1,3,1,1,,,,,64,9,15,15,10,9,10
1,32,3,1,0,0,0,0,0,0,1,0,1,1,4,1,1,1,4,2,2,4,4,4,4,1,3,5,2,1,1,50,10,0.44,72,17,19,15,6,9,10
1,52,2,0,1,0,0,0,0,0,1,0,6,3,1,1,1,2,3,3,4,5,5,4,3,1,2,5,1,1,0,48,12,0.55,56,8,16,14,9,16,9
2,24,3,1,0,0,0,0,0,0,1,0,1,3,4,1,1,1,5,4,3,5,4,4,3,2,2,5,2,,,54,15,0.61,40,9,10,11,7,7,6
2,34,3,1,0,0,0,0,0,0,0,0,2,5,4,1,,1,2,5,5,2,2,1,4,4,1,3,2,,0,32,23,1.58,24,12,8,10,13,14,11
2,28,4,1,0,0,0,0,0,0,0,0,4,3,4,1,1,1,4,2,3,5,5,4,5,3,4,3,2,,,42,9,0.47,72,11,16,15,3,8,5
1,32,4,1,0,0,0,0,0,1,1,0,6,1,4,1,1,4,2,3,2,2,2,4,2,4,2,4,2,1,1,36,14,0.86,48,8,11,11,8,7,8
2,34,4,1,0,0,0,0,0,0,0,0,1,2,4,1,1,4,4,4,3,5,5,3,4,2,2,4,2,1,0,40,22,1.21,60,14,11,14,10,14,10
1,29,2,1,0,0,0,0,0,0,1,0,1,3,4,1,1,1,4,5,4,4,4,4,2,2,3,5,2,,0,42,18,0.94,52,17,13,16,9,12,14
1,23,3,1,0,1,0,0,0,0,1,0,1,1,4,1,1,1,2,3,3,4,4,2,3,3,1,3,2,0,1,38,8,0.46,60,6,7,9,9,5,7
1,35,4,1,0,0,0,0,0,0,0,0,1,4,4,3,3,1,1,4,4,2,1,3,2,2,2,4,2,,,18,25,3.06,40,9,10,10,18,14,7
2,27,4,1,0,0,0,0,0,0,0,0,1,2,4,1,1,1,5,2,3,5,5,4,5,1,2,3,2,1,1,34,11,0.71,76,16,16,13,8,9,6
1,27,3,0,1,0,0,0,0,0,1,0,1,2,3,1,1,4,5,3,5,4,4,4,4,3,3,3,3,1,,38,5,0.29,56,7,12,13,12,7,5
1,24,3,0,1,0,0,0,0,0,1,0,6,2,1,1,1,1,5,4,3,5,5,4,3,3,2,5,2,1,0,49,7,0.31,32,14,10,10,6,4,3
2,50,4,1,0,0,0,0,0,0,0,0,4,5,4,1,1,1,5,2,2,4,4,5,4,3,2,5,3,1,1,50,18,0.79,60,15,12,13,13,9,5
1,28,3,1,0,0,0,0,0,0,1,0,1,1,4,1,1,4,4,3,2,2,1,4,4,2,2,5,3,1,1,29,15,1.14,56,18,12,11,7,5,3
1,36,3,1,0,0,0,0,0,0,1,0,1,2,5,3,2,1,5,4,5,2,2,2,2,2,1,3,4,,,23,12,1.15,60,14,16,15,9,11,7
2,52,4,1,0,0,0,0,0,0,0,0,1,4,5,1,1,2,5,2,1,5,4,4,5,2,2,5,1,,,35,11,0.69,84,15,13,17,4,8,6
1,27,3,0,1,0,0,0,0,0,1,0,1,3,2,1,1,4,4,4,3,4,2,4,4,3,4,4,3,1,1,48,16,0.73,72,12,16,13,8,9,11
1,40,4,1,0,0,0,0,0,0,0,0,1,3,5,1,1,1,4,4,4,3,2,4,3,3,2,2,3,1,0,29,,,60,13,12,14,16,17,8
2,34,2,0,0,0,0,0,0,1,1,0,7,,,,,,,5,3,6,6,2,2,4,2,2,2,,,28,20,1.57,36,7,13,6,14,9,15
1,36,4,0,0,0,0,0,0,0,1,1,7,4,1,1,1,1,5,2,4,5,5,4,5,1,2,5,3,1,,,,,60,15,17,19,5,12,3
1,20,2,0,1,1,0,0,0,0,1,0,1,1,4,1,1,3,5,2,2,2,6,4,4,2,4,4,2,,1,43,12,0.61,68,12,14,13,12,11,10
2,27,3,1,0,0,0,0,0,0,1,0,1,1,4,1,1,1,4,4,2,4,4,4,4,3,3,4,4,,,46,13,0.62,48,13,13,13,13,12,13
2,21,2,0,0,0,0,0,0,0,1,0,7,,,,,,,2,1,,,4,5,3,3,4,0,,,,,,84,9,18,14,4,3,5
1,23,3,1,0,1,0,0,0,0,1,0,6,1,4,1,1,4,4,2,1,4,4,5,5,1,3,5,2,0,1,48,17,0.78,68,8,13,12,4,10,4
1,23,4,0,0,1,0,0,0,0,1,0,6,1,3,1,1,4,2,2,3,4,4,4,4,2,3,4,1,,,45,8,0.39,48,17,13,12,9,13,8
2,21,3,1,0,0,0,0,0,0,1,1,1,1,4,,,1,5,3,3,4,4,5,5,2,4,5,2,1,1,45,13,0.64,76,15,17,19,6,9,6
1,24,2,0,0,0,0,0,0,0,1,0,7,,,,,,,4,3,,,3,3,4,3,4,1,,0,,,,20,8,8,17,11,10,7
2,22,4,0,0,0,0,0,0,0,1,0,1,1,,1,1,3,4,3,4,5,4,5,5,2,2,5,4,,,38,19,1.1,80,14,10,8,14,14,5
1,24,2,1,0,0,0,0,0,0,1,0,1,1,4,1,1,4,3,2,2,4,4,5,5,3,4,5,2,0,1,48,18,0.83,68,16,13,17,9,11,10
1,22,2,1,0,0,0,0,0,0,0,0,1,4,4,1,1,4,2,4,3,2,4,4,4,3,1,4,0,1,0,40,13,0.72,52,11,9,14,10,7,8
1,20,2,0,1,0,0,0,0,0,1,0,1,2,2,1,1,4,5,2,3,5,5,5,5,1,2,4,2,,,48,9,0.41,68,14,16,19,7,12,6
1,31,4,0,0,0,0,0,0,0,0,1,4,3,4,1,1,1,2,4,1,4,4,4,2,4,2,4,3,,0,46,18,0.86,40,13,16,11,5,15,5
3,25,3,0,0,0,0,0,0,0,1,0,7,,,,,,,3,2,,,5,5,2,3,4,2,,,,,,80,8,21,21,3,15,3
1,24,3,1,0,0,0,0,0,0,0,0,1,3,4,2,3,1,3,3,1,4,4,4,4,3,2,5,2,,,41,15,0.8,60,11,14,13,6,10,9
1,22,2,0,0,0,0,0,0,0,1,1,5,3,1,1,1,1,3,2,3,5,5,2,2,4,1,4,3,1,0,33,12,0.8,36,11,18,14,9,15,4
1,19,2,0,0,0,0,0,0,0,1,0,7,,,,,,,4,5,,,3,2,2,2,5,3,1,1,,,,60,17,8,12,14,16,10
2,40,3,1,0,0,1,0,0,0,0,1,3,5,3,1,2,1,4,2,2,5,5,4,4,3,2,5,0,1,0,40,21,1.16,60,14,18,19,5,11,12
2,25,2,1,0,0,0,0,0,0,1,0,2,3,4,1,1,3,4,2,2,5,5,5,5,1,3,3,2,1,1,44,13,0.65,64,12,15,14,7,9,4
2,33,4,0,1,0,0,0,0,0,1,0,1,4,1,1,1,4,2,3,3,2,2,2,2,3,2,5,1,,1,30,16,1.17,20,12,17,17,11,13,10
1,24,4,1,0,0,0,0,0,0,0,0,1,3,4,1,1,1,4,3,2,3,4,4,5,2,3,4,3,,1,44,19,0.95,100,16,16,17,10,13,4
1,32,2,0,0,0,0,0,0,0,1,0,7,,,,,4,,2,2,,,4,4,2,2,4,2,0,1,,,,68,15,14,13,13,11,9
2,29,2,1,0,0,0,0,0,0,1,0,4,1,4,1,1,4,4,4,1,4,3,4,5,3,3,5,1,,,46,20,0.96,60,12,12,14,14,7,4
1,31,4,0,1,0,0,0,0,0,1,0,3,3,3,1,1,1,5,3,3,2,2,4,4,3,3,5,1,1,1,31,16,1.14,60,13,18,17,6,12,5
1,30,3,0,1,0,0,0,0,0,1,0,1,4,3,1,,4,4,2,2,5,5,4,5,2,3,5,2,,0,48,10,0.46,64,13,16,14,6,10,12
1,39,4,1,0,0,0,0,0,0,0,0,3,4,5,1,1,1,3,3,2,6,5,4,5,3,2,4,2,0,0,44,25,1.25,28,14,11,13,13,15,11
2,27,3,0,1,0,0,0,0,0,1,0,4,3,2,1,1,1,4,4,2,4,5,3,3,2,2,3,1,,,41,8,0.43,48,8,10,10,11,6,6
1,36,4,1,0,0,0,0,0,0,0,1,6,4,4,1,1,1,4,3,4,2,4,5,4,2,2,4,3,1,0,39,23,1.3,60,14,14,15,13,10,7
1,25,3,1,0,0,0,0,0,0,1,0,1,1,4,1,1,1,4,4,4,5,5,4,4,2,3,5,2,,0,52,,,56,13,15,13,10,11,10
1,22,2,0,0,0,1,0,0,0,1,0,7,,,,,,,4,3,,,2,3,2,3,4,2,,0,,,,36,8,9,8,14,15,8
1,28,3,1,0,0,0,0,0,0,1,0,1,3,4,1,1,1,3,4,3,6,2,4,4,1,2,5,2,1,,29,22,1.67,48,12,11,12,10,12,6
1,33,4,0,0,0,0,0,0,0,1,0,7,,,,,,,4,5,,,2,4,4,2,2,3,,,,,,24,7,9,8,14,16,14
1,36,3,0,0,0,0,0,0,1,1,0,7,,,,,,,4,3,,,1,1,4,2,2,2,,,,,,28,9,9,5,20,14,8
1,26,3,0,1,0,0,0,0,0,1,0,1,2,3,1,1,4,4,3,3,4,4,3,4,2,2,3,3,,,37,9,0.54,64,8,8,8,10,11,7
2,37,3,0,0,0,0,0,1,0,0,1,6,,,,1,,,4,5,,,4,4,3,2,3,1,0,0,,,,60,19,13,13,21,10,17
1,40,2,0,1,0,0,0,0,0,1,0,1,4,2,,,,4,3,2,3,3,4,4,2,2,3,2,,0,,,,56,10,8,18,11,7,5
1,26,3,0,0,0,0,0,0,0,1,0,7,,,,,,,4,4,,,2,2,3,3,3,2,,0,,,,44,15,13,17,7,10,3
1,21,2,0,0,0,0,0,0,0,1,0,7,,,,,,,4,3,,,4,3,3,4,4,2,,0,,,,44,9,11,19,9,13,12
1,22,2,0,0,0,0,0,0,0,1,0,7,,,,,,,4,4,,,3,2,3,2,2,3,,0,,,,36,8,4,10,10,8,4
1,62,4,0,0,0,1,0,0,0,0,0,4,5,3,1,1,2,2,4,2,3,3,4,4,4,3,3,1,1,1,37,18,1.07,60,15,19,19,7,15,16
1,39,4,1,0,0,0,0,0,0,1,0,1,1,4,3,3,1,4,4,4,4,3,3,4,2,1,2,4,,,29,16,1.21,44,11,13,12,16,10,7
1,23,4,0,1,0,0,0,0,0,1,0,1,3,1,1,1,1,5,3,1,3,4,4,4,3,1,5,2,1,1,51,17,0.73,68,10,6,15,13,5,4
1,58,4,0,1,0,0,0,0,0,1,0,6,4,1,1,1,2,5,2,3,5,5,3,3,2,2,4,0,1,1,43,6,0.31,60,12,13,14,4,6,4
1,23,3,0,1,0,0,0,0,0,1,0,1,1,2,1,1,4,4,3,3,4,4,4,4,3,2,3,2,1,0,41,18,0.97,44,13,13,14,10,11,5
1,42,3,1,0,0,0,0,0,0,0,0,1,5,4,1,1,1,3,2,1,2,4,2,3,1,1,2,0,1,1,34,22,1.42,76,11,13,16,10,14,8
1,35,4,0,1,0,1,0,0,0,1,0,1,3,2,1,1,1,5,5,5,3,2,2,3,4,4,2,4,0,0,36,16,0.98,40,15,13,19,4,12,3
2,26,3,1,0,1,0,0,0,0,1,0,1,3,4,1,1,1,2,3,2,4,4,4,4,4,3,4,2,1,0,42,14,0.73,72,11,13,12,11,13,8
1,25,2,1,0,1,0,0,0,0,0,0,2,3,5,1,3,2,4,2,1,4,2,4,4,3,3,5,0,1,0,36,16,0.98,60,14,11,14,9,12,8
1,35,3,1,0,0,0,0,0,0,1,0,1,1,4,1,1,4,4,3,2,5,4,2,4,1,3,4,1,,,41,11,0.59,36,8,8,4,9,6,5
1,29,4,1,0,0,0,0,0,0,1,0,1,2,4,1,1,1,5,2,3,4,5,5,5,2,3,5,2,0,1,48,10,0.46,84,18,20,18,4,12,5
1,24,3,1,0,0,0,0,0,0,1,0,1,1,4,1,,1,3,4,2,3,4,5,4,3,3,4,2,,20,42,9,0.47,56,13,13,18,13,12,5
1,32,3,0,0,0,0,0,0,0,1,0,7,,,3,3,,,3,5,,,4,3,4,3,5,1,0,,,,,20,8,7,8,11,12,5
1,23,2,0,0,0,0,0,0,0,1,0,7,,,,,,,5,5,,,2,1,4,1,4,2,,0,,,,4,10,12,14,12,17,9
1,42,3,1,0,0,0,0,0,0,1,0,1,5,4,1,1,4,5,4,4,2,2,4,4,3,2,5,2,1,0,33,25,1.67,40,15,15,15,8,11,7
1,41,4,1,0,0,0,0,0,0,0,0,4,4,2,1,1,1,5,2,3,1,1,4,5,2,2,5,1,,,43,12,0.61,76,14,14,16,10,11,13
1,29,3,0,1,0,0,0,0,0,1,0,1,2,2,1,1,4,2,3,3,3,4,3,4,3,3,4,1,0,0,38,11,0.64,44,6,7,10,10,6,6
1,24,4,0,0,0,0,0,0,0,1,0,7,,,,,,,2,3,,,4,5,3,2,3,1,,,,,,76,14,14,16,9,8,8
1,22,2,0,0,1,0,0,0,0,1,0,1,1,4,1,1,1,4,4,3,5,5,4,4,1,3,5,4,1,0,49,7,0.31,48,16,16,15,13,11,5
1,26,3,0,1,0,0,0,0,0,1,0,1,2,1,1,1,3,4,4,3,4,4,4,3,3,2,3,3,1,0,33,10,0.67,64,13,9,14,10,11,7
2,41,3,1,0,0,0,0,0,0,0,0,1,4,4,1,1,1,5,4,1,4,4,3,3,4,3,5,2,,,46,12,0.57,44,14,17,16,11,16,4
1,25,2,1,0,0,0,0,0,0,0,0,1,1,4,1,1,4,5,1,2,4,4,4,4,2,2,5,2,0,1,28,18,1.41,68,13,16,18,4,11,3
1,49,4,0,0,0,0,0,0,0,1,0,7,,,,,,,3,3,,,4,3,1,1,4,2,,,,,,60,11,13,19,9,9,6
1,36,3,0,1,0,0,0,0,0,1,0,1,2,2,1,1,1,3,3,3,5,5,4,4,3,3,5,2,1,0,41,7,0.38,52,17,12,16,10,12,5
1,21,2,0,1,0,0,0,0,0,1,0,1,3,1,1,1,4,3,5,5,5,6,1,2,2,3,3,4,,0,36,5,0.31,20,13,4,15,16,17,3
1,27,2,1,0,0,0,0,0,0,1,0,1,1,4,1,1,1,4,2,2,4,4,4,3,1,3,5,2,,1,49,6,0.27,72,10,11,13,4,3,9
3,46,4,0,0,0,0,0,0,0,0,1,6,4,4,1,1,1,4,4,4,2,2,5,5,3,3,3,3,0,1,29,17,1.29,64,19,20,18,6,21,18
